거리,소성변형,종단평탄성,편경사,종단경사,곡률,조사속도,위도,경도,균열량,균열율,HPICI_아스팔트,HPICI_콘크리트,NHPCI,SPI_도시고속,SPI_주간선,SPI_보조간선,AP종방향_L,AP종방향_M,AP종방향_H,AP횡방향_L,AP횡방향_M,AP횡방향_H,AP시공줄눈_L,AP시공줄눈_M,AP시공줄눈_H,AP거북등균열_L,AP거북등균열_M,AP거북등균열_H,AP패칭_L,AP패칭_M,AP패칭_H,AP포트홀_L,AP포트홀_M,AP포트홀_H,비고,index,평균,조사명,조사일자
0.1400,2.54,2.65,-2.91,3.34,-0.000423,42.45,37.521144501,126.916534758,0.0000,0.00,1.23,3.07,6.11,7.18,7.44,7.65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,13,평균
0.1500,2.48,1.38,-2.81,3.29,0.000043,42.76,37.521089104,126.916445688,0.0000,0.00,2.04,3.95,7.44,8.81,8.92,9.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,14,평균
0.1600,2.73,1.25,-2.75,3.23,0.000262,43.27,37.521033829,126.916356671,0.0000,0.00,1.85,4.06,7.55,8.96,9.03,9.09,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,15,평균
0.1700,2.36,0.89,-2.86,3.19,0.000253,44.05,37.520978767,126.916267813,0.0000,0.00,2.39,4.24,7.87,9.20,9.25,9.28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,16,평균
0.1800,2.45,0.81,-2.83,3.24,-0.000140,45.30,37.520924062,126.916179042,0.0000,0.00,2.28,4.23,7.84,9.18,9.23,9.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,17,평균
0.1900,2.64,1.37,-2.85,3.25,0.000136,46.59,37.520869653,126.916090890,0.0000,0.00,1.78,3.85,7.26,8.65,8.77,8.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,18,평균
0.2000,3.59,1.42,-2.85,3.18,-0.000377,47.46,37.520815314,126.916003178,0.0000,0.00,0.70,3.84,7.09,8.59,8.70,8.78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,19,평균
0.2100,2.79,1.63,-2.85,3.17,0.000160,48.22,37.520759790,126.915913759,0.0000,0.00,1.47,3.67,6.96,8.34,8.49,8.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,20,평균
0.2200,2.62,1.18,-2.82,3.12,0.000235,48.83,37.520704589,126.915824506,0.0000,0.00,1.98,4.07,7.58,8.97,9.05,9.11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,21,평균
0.2300,2.31,0.64,-2.77,3.03,0.000219,49.20,37.520649464,126.915735210,0.0000,0.00,2.54,4.38,8.07,9.32,9.34,9.35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,22,평균
0.2400,2.64,0.80,-2.75,2.91,0.000059,49.06,37.520594409,126.915645594,0.0000,0.00,2.13,4.30,7.90,9.21,9.24,9.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,23,평균
0.2500,3.05,1.31,-2.74,2.73,-0.000156,48.43,37.520539071,126.915555594,0.0000,0.00,1.41,3.95,7.34,8.79,8.88,8.95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,24,평균
0.2600,3.12,1.49,-2.82,2.57,-0.000353,48.02,37.520483807,126.915465727,0.0000,0.00,1.25,3.86,7.20,8.66,8.76,8.85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,25,평균
0.2700,3.47,1.61,-2.87,2.50,-0.000420,48.01,37.520428355,126.915376315,0.0000,0.00,0.76,3.75,6.98,8.46,8.58,8.68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,26,평균
0.2800,2.98,1.09,-2.83,2.54,-0.000209,47.95,37.520372745,126.915287235,0.0000,0.00,1.60,4.09,7.55,8.98,9.04,9.08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,27,평균
0.2900,2.24,1.47,-2.75,2.55,-0.000133,47.92,37.520316903,126.915198390,0.0000,0.00,2.24,3.88,7.37,8.70,8.82,8.91,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,28,평균
0.3000,2.65,2.33,-2.80,2.39,-0.000499,48.29,37.520261068,126.915109704,0.0000,0.00,1.36,3.36,6.52,7.77,7.97,8.13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,29,평균
0.3100,3.82,4.69,-3.00,2.04,-0.000946,49.38,37.520205025,126.915021644,0.0000,0.00,-0.69,2.55,5.27,6.04,6.40,6.70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,교량_서울교,30,평균
0.3200,2.80,2.42,-2.96,1.97,-0.000295,50.63,37.520148500,126.914934532,0.0000,0.00,1.27,3.44,6.62,7.92,8.11,8.26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,31,평균
0.3300,7.35,1.51,-2.67,2.23,0.000074,51.14,37.520091468,126.914847342,0.0000,0.00,-4.00,3.90,6.63,8.00,8.01,8.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,32,평균
0.3400,6.46,1.89,-2.57,2.22,-0.000375,50.54,37.520033866,126.914759843,0.0000,0.00,-2.99,3.68,6.47,8.07,8.14,8.18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,33,평균
0.3500,2.92,1.62,-2.29,2.17,-0.000387,49.88,37.519976062,126.914672409,0.0000,0.00,1.45,3.82,7.17,8.60,8.72,8.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,34,평균
0.3600,2.49,2.92,-2.21,2.04,-0.000118,49.13,37.519916152,126.914584971,0.0000,0.00,1.46,3.27,6.41,7.60,7.82,8.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,35,평균
0.3700,2.65,2.39,-2.89,1.72,-0.000136,48.44,37.519853290,126.914497337,0.0000,0.00,1.41,3.42,6.60,7.88,8.07,8.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,36,평균
0.3800,2.72,5.04,-3.20,1.19,0.000132,48.29,37.519795591,126.914410280,0.0000,0.00,0.29,2.25,4.99,5.34,5.76,6.11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,37,평균
0.3900,1.96,2.36,-3.13,0.95,0.000002,48.41,37.519733504,126.914323624,0.0000,0.00,2.22,3.52,6.85,8.07,8.25,8.39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,38,평균
0.4000,1.73,1.91,-3.54,1.16,-0.000148,48.58,37.519679658,126.914236028,0.0000,0.00,2.58,3.66,7.10,8.32,8.47,8.60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,39,평균
0.4100,2.66,4.32,-4.50,1.07,-0.000170,48.42,37.519623850,126.914147849,0.0000,0.00,0.62,2.54,5.36,6.01,6.38,6.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,40,평균
