조사명,경인로(51)_상_2
조사자,
노선,
행선,
차로,
시점,0.0000
종점,9.77
리포트간격(m),10
시작시간,2022-5-3 15:16:0
종료시간,2022-5-3 15:56:27

거리,도로현황,도로표면,소성변형,종단평탄성,,,기하구조,,,조사속도,궤적,,도로포장파손 분석결과,,HPICI,,NHPCI,SPI,,,AP종방향균열[m 아스팔트],,,,AP횡방향균열[m 아스팔트],,,,AP시공줄눈[m 아스팔트],,,,AP거북등균열[m² 아스팔트],,,,AP패칭[m² 아스팔트],,,,AP포트홀[m² 아스팔트],,,,조사시각,기하구조 2,,차로폭,분석 관심 폭,GEOFOG3D,
[km],이미지,이미지,직선자[mm],CRI[m/km],최대[m/km],평균[m/km],편경사[%],종단경사[%],곡률[1/m],속도[km/h],위도[˚],경도[˚],균열량(m²),균열율(%),아스팔트,콘크리트,NHPCI,도시고속도로,주간선도로,보조간선도로,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,비고,,평면율[deg/km],고도율[m/km],m,Width [m],종단선형[m/km],평면선형[deg/km]
0.1000,경인로(51)_상_2_v000090000.jpg,경인로(51)_상_2_s000100000.jpg,3.13,2.15,2.22,2.15,-2.72,3.57,0.000306,39.63,37.521359406,126.916886412,0.0000,0.00,1.03,3.60,6.81,8.21,8.37,8.50,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,35.70,0.00,3.215,5.05,21.02
0.1100,경인로(51)_상_2_v000100000.jpg,경인로(51)_상_2_s000110000.jpg,2.73,1.41,1.47,1.41,-2.68,3.58,0.000316,41.19,37.521306844,126.916801220,0.0000,0.00,1.76,3.95,7.39,8.80,8.90,8.98,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,35.80,0.00,3.215,3.59,8.37
0.1200,경인로(51)_상_2_v000110000.jpg,경인로(51)_상_2_s000120000.jpg,2.33,0.92,1.00,0.92,-2.61,3.45,0.000305,41.85,37.521255814,126.916718378,0.0000,0.00,2.39,4.20,7.82,9.16,9.21,9.26,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,34.50,0.00,3.215,3.67,1.18
0.1300,경인로(51)_상_2_v000120000.jpg,경인로(51)_상_2_s000130000.jpg,2.72,3.93,4.50,3.93,-2.73,3.40,-0.000293,42.12,37.521199747,126.916625018,0.2800,0.74,0.49,2.26,5.56,6.39,6.71,6.98,0,0.0000,0.0000,0.0000,0,2.8000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,34.00,0.00,3.215,3.52,1.68
0.1400,경인로(51)_상_2_v000130000.jpg,경인로(51)_상_2_s000140000.jpg,2.54,2.65,3.53,2.65,-2.91,3.34,-0.000423,42.45,37.521144501,126.916534758,0.0000,0.00,1.23,3.07,6.11,7.18,7.44,7.65,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,33.40,0.00,3.215,2.78,0.24
0.1500,경인로(51)_상_2_v000140000.jpg,경인로(51)_상_2_s000150000.jpg,2.48,1.38,1.46,1.38,-2.81,3.29,0.000043,42.76,37.521089104,126.916445688,0.0000,0.00,2.04,3.95,7.44,8.81,8.92,9.00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,32.90,0.00,3.215,2.38,3.19
0.1600,경인로(51)_상_2_v000150000.jpg,경인로(51)_상_2_s000160000.jpg,2.73,1.25,1.26,1.25,-2.75,3.23,0.000262,43.27,37.521033829,126.916356671,0.0000,0.00,1.85,4.06,7.55,8.96,9.03,9.09,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,32.30,0.00,3.215,2.66,3.89
0.1700,경인로(51)_상_2_v000160000.jpg,경인로(51)_상_2_s000170000.jpg,2.36,0.89,0.93,0.89,-2.86,3.19,0.000253,44.05,37.520978767,126.916267813,0.0000,0.00,2.39,4.24,7.87,9.20,9.25,9.28,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,31.90,0.00,3.215,2.41,4.48
0.1800,경인로(51)_상_2_v000170000.jpg,경인로(51)_상_2_s000180000.jpg,2.45,0.81,0.95,0.81,-2.83,3.24,-0.000140,45.30,37.520924062,126.916179042,0.0000,0.00,2.28,4.23,7.84,9.18,9.23,9.26,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,32.40,0.00,3.215,2.26,1.34
0.1900,경인로(51)_상_2_v000180000.jpg,경인로(51)_상_2_s000190000.jpg,2.64,1.37,1.67,1.37,-2.85,3.25,0.000136,46.59,37.520869653,126.916090890,0.0000,0.00,1.78,3.85,7.26,8.65,8.77,8.86,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,32.50,0.00,3.215,1.97,0.95
0.2000,경인로(51)_상_2_v000190000.jpg,경인로(51)_상_2_s000200000.jpg,3.59,1.42,1.70,1.42,-2.85,3.18,-0.000377,47.46,37.520815314,126.916003178,0.0000,0.00,0.70,3.84,7.09,8.59,8.70,8.78,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,31.80,0.00,3.215,1.76,2.46
0.2100,경인로(51)_상_2_v000200000.jpg,경인로(51)_상_2_s000210000.jpg,2.79,1.63,2.07,1.63,-2.85,3.17,0.000160,48.22,37.520759790,126.915913759,0.0000,0.00,1.47,3.67,6.96,8.34,8.49,8.61,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,31.70,0.00,3.215,1.35,3.95
0.2200,경인로(51)_상_2_v000210000.jpg,경인로(51)_상_2_s000220000.jpg,2.62,1.18,1.25,1.18,-2.82,3.12,0.000235,48.83,37.520704589,126.915824506,0.0000,0.00,1.98,4.07,7.58,8.97,9.05,9.11,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,31.20,0.00,3.215,0.97,4.61
0.2300,경인로(51)_상_2_v000220000.jpg,경인로(51)_상_2_s000230000.jpg,2.31,0.64,0.70,0.64,-2.77,3.03,0.000219,49.20,37.520649464,126.915735210,0.0000,0.00,2.54,4.38,8.07,9.32,9.34,9.35,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,30.30,0.00,3.215,0.69,4.79
0.2400,경인로(51)_상_2_v000230000.jpg,경인로(51)_상_2_s000240000.jpg,2.64,0.80,0.83,0.80,-2.75,2.91,0.000059,49.06,37.520594409,126.915645594,0.0000,0.00,2.13,4.30,7.90,9.21,9.24,9.26,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,29.10,0.00,3.157,0.18,3.70
0.2500,경인로(51)_상_2_v000240000.jpg,경인로(51)_상_2_s000250000.jpg,3.05,1.31,1.47,1.31,-2.74,2.73,-0.000156,48.43,37.520539071,126.915555594,0.0000,0.00,1.41,3.95,7.34,8.79,8.88,8.95,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,27.30,0.00,3.157,0.49,9.36
0.2600,경인로(51)_상_2_v000250000.jpg,경인로(51)_상_2_s000260000.jpg,3.12,1.49,1.65,1.49,-2.82,2.57,-0.000353,48.02,37.520483807,126.915465727,0.0000,0.00,1.25,3.86,7.20,8.66,8.76,8.85,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,25.70,0.00,3.157,0.52,14.00
0.2700,경인로(51)_상_2_v000260000.jpg,경인로(51)_상_2_s000270000.jpg,3.47,1.61,1.90,1.61,-2.87,2.50,-0.000420,48.01,37.520428355,126.915376315,0.0000,0.00,0.76,3.75,6.98,8.46,8.58,8.68,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,25.00,0.00,3.157,0.42,14.69
0.2800,경인로(51)_상_2_v000270000.jpg,경인로(51)_상_2_s000280000.jpg,2.98,1.09,1.20,1.09,-2.83,2.54,-0.000209,47.95,37.520372745,126.915287235,0.0000,0.00,1.60,4.09,7.55,8.98,9.04,9.08,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,25.40,0.00,3.157,0.42,22.83
0.2900,경인로(51)_상_2_v000280000.jpg,경인로(51)_상_2_s000290000.jpg,2.24,1.47,1.61,1.47,-2.75,2.55,-0.000133,47.92,37.520316903,126.915198390,0.0000,0.00,2.24,3.88,7.37,8.70,8.82,8.91,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,25.50,0.00,3.157,0.68,24.19
0.3000,경인로(51)_상_2_v000290000.jpg,경인로(51)_상_2_s000300000.jpg,2.65,2.33,2.79,2.33,-2.80,2.39,-0.000499,48.29,37.520261068,126.915109704,0.0000,0.00,1.36,3.36,6.52,7.77,7.97,8.13,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,23.90,0.00,3.157,1.59,23.51
0.3100,경인로(51)_상_2_v000300000.jpg,경인로(51)_상_2_s000310000.jpg,3.82,4.69,4.94,4.69,-3.00,2.04,-0.000946,49.38,37.520205025,126.915021644,0.0000,0.00,-0.69,2.55,5.27,6.04,6.40,6.70,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,20.40,0.00,3.157,2.84,19.73
0.3200,경인로(51)_상_2_v000310000.jpg,경인로(51)_상_2_s000320000.jpg,2.80,2.42,2.60,2.42,-2.96,1.97,-0.000295,50.63,37.520148500,126.914934532,0.0000,0.00,1.27,3.44,6.62,7.92,8.11,8.26,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,19.70,0.00,3.276,4.08,26.05
0.3300,경인로(51)_상_2_v000320000.jpg,경인로(51)_상_2_s000330000.jpg,7.35,1.51,1.57,1.51,-2.67,2.23,0.000074,51.14,37.520091468,126.914847342,0.0000,0.00,-4.00,3.90,6.63,8.00,8.01,8.02,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,22.30,0.00,3.276,5.09,16.76
0.3400,경인로(51)_상_2_v000330000.jpg,경인로(51)_상_2_s000340000.jpg,6.46,1.89,2.04,1.89,-2.57,2.22,-0.000375,50.54,37.520033866,126.914759843,0.0000,0.00,-2.99,3.68,6.47,8.07,8.14,8.18,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,22.20,0.00,3.531,5.45,12.09
0.3500,경인로(51)_상_2_v000340000.jpg,경인로(51)_상_2_s000350000.jpg,2.92,1.62,1.74,1.62,-2.29,2.17,-0.000387,49.88,37.519976062,126.914672409,0.0000,0.00,1.45,3.82,7.17,8.60,8.72,8.81,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,,0.00,0.00,21.70,0.00,3.531,5.87,9.63
